,in_len,out_len,kernel_size,num_filters,weight_norm,dilation_base,num_layers,dropout,lr,batch_size,RMSE,MAE,MAPE
87,7,3,3,2,False,5,4,0.05758849249573067,0.00321835738185277,256,0.026450766250491142,0.01741518,3.0430233106017113
88,2,1,1,2,True,5,4,0.09716778097268856,0.003509941499386207,256,0.026343241333961487,0.01758684,3.0849456787109375
89,2,1,1,3,True,5,3,0.12092758561103994,0.003097960091894267,256,0.027987346053123474,0.020139074,3.5658221691846848
90,3,2,1,2,True,5,4,0.09795294021963787,0.003845493096345032,256,0.02642529271543026,0.01771417,3.108428977429867
91,5,2,3,2,True,5,4,0.10729489091597867,0.004145240368083418,256,0.02638636901974678,0.017418152,3.0423302203416824
92,6,2,3,2,True,5,4,0.09282141139802944,0.0035673960740256784,256,0.02635888196527958,0.01741371,3.048122674226761
93,6,2,3,2,True,5,4,0.08382420797162617,0.003666426991732604,256,0.02637360990047455,0.017467758,3.0618051066994667
94,8,3,4,2,True,5,4,0.1273537479135538,0.0035570521112923015,256,0.027249779552221298,0.018652273,3.2914768904447556
95,7,2,3,3,True,5,4,0.09282190121748884,0.0035752188641399404,256,0.04249057173728943,0.035937414,6.369800865650177
96,2,1,1,2,True,5,4,0.07448221093142361,0.0032896114560582676,256,0.026732679456472397,0.018457247,3.252527490258217
97,4,2,3,2,True,5,4,0.06252432347014156,0.004010093846329337,256,0.026367584243416786,0.017395822,3.042146749794483
98,6,2,3,2,True,5,3,0.08817175303831945,0.003749533892689676,256,0.02963874489068985,0.021974329,3.8873497396707535
99,4,2,3,2,True,5,4,0.11779682898573876,0.0032057376573937026,256,0.026374757289886475,0.01740461,3.0405327677726746
