,in_len,out_len,kernel_size,num_filters,weight_norm,dilation_base,num_layers,dropout,lr,batch_size,RMSE,MAE,MAPE
87,10,8,5,4,False,3,2,0.034783788755788435,0.0027853151412732084,128,0.048729944974184036,0.03336247,7.328207790851593
88,7,5,4,3,False,5,5,0.2919588512621396,0.0011105439453800358,128,0.05178750306367874,0.035960633,7.856133580207825
89,16,10,9,7,False,2,3,0.11515291603418903,0.0029466505153612887,32,0.07725244760513306,0.05570342,11.693357676267624
90,13,8,6,2,True,4,4,0.15676984155998763,0.0019646265396498423,128,0.04833029955625534,0.0323943,7.136749476194382
91,20,11,8,2,False,3,5,0.2806586832984981,0.0026512077905022175,64,0.04777151718735695,0.031513907,6.943042576313019
92,21,11,8,2,False,3,5,0.28220225388436226,0.002673850171695602,64,0.04812803119421005,0.031845145,6.988818943500519
93,22,18,7,2,False,3,5,0.2608471708521722,0.0022812858956485866,64,0.048096198588609695,0.031823937,7.0564500987529755
94,20,13,11,2,False,3,5,0.29381513207746146,0.002474468952226289,64,0.04904015362262726,0.033392545,7.388390600681305
95,30,14,18,3,False,4,5,0.2766542634322606,0.0017599083177533654,64,0.04784020781517029,0.031869665,7.015796005725861
96,30,14,19,2,False,4,5,0.2763637848648035,0.001638660561319013,64,0.05124635249376297,0.03520457,7.7996909618377686
97,23,14,17,3,False,3,5,0.24894341206737333,0.00155340356496874,64,0.04915110394358635,0.033661257,7.527901977300644
98,24,20,19,4,False,3,5,0.261757419014508,0.0017107960755216385,64,0.04868519678711891,0.032611135,7.244633138179779
99,28,11,18,3,False,4,5,0.22634278117477824,0.0013002492660677241,64,0.048436034470796585,0.032915644,7.244298607110977
